id,tagline,occurrence,publication,lin,summary,recommendations,location
RO-1993-113,"Passenger train TA03, collision with motor vehicle, Taupaki, 4 September 1993",4 Sep 1993,30 Mar 1994,93-113,"On 4 September 1993 a passenger excursion train (A02) collided with a four-wheel-drive vehicle on a level crossing at Taupaki. The driver, the sole occupant of the motor vehicle, was fatally injured in the collision. As the crossing was already protected by flashing lights and bells, no specific safety issues were raised.",NA,Taupaki
RO-1993-114,"Passenger express train T201 Overlander, collision with a cyclist, Levin, 11 August 1993",11 Aug 1993,30 Mar 1994,93-114,"On 11 August 1993 a child cyclist who, while chasing a departing train along the station platform at Levin, lost control of his bicycle and became wedged between the train and the platform. The safety issues identified in the investigation were the supervision of station platforms as trains depart, the need for signs warning against cycling and similar activities on station platforms, and the promulgation of the statutory Railway Regulations.","068/93, 069/93",Levin
RO-1993-116,"Passenger express train T700 Coastal Pacific, struck pedestrian, near Papanui, 12 October 1993",12 Oct 1993,30 Mar 1994,93-116,On 12 October 1993 a pedestrian who moved on to the track between Papanui and Belfast as a passenger train approached was struck and mortally injured. No specific issues of public safety were identified in the investigation.,NA,Papanui
RO-1993-117,"Shunting locomotive T117, collision with motor vehicle, Mount Maunganui, 18 October 1993",18 Oct 1993,30 Mar 1994,93-117,"On 18 October 1993 a shunting locomotive struck a car on the Matapihi Road level crossing, Mount Maunganui, fatally injuring the motorist. The safety issues identified in this report are the location and substance of the passive signs prior to the crossing, and the number and location of the active warning devices at the crossing.","070/93, 074/93, 075/93, 076/93",Mount Maunganui
RO-1993-118,"Passenger express train T203 Northerner, collision with container, Whangamarino, 25 October 1993",25 Oct 1993,1 May 1994,93-118,"On 25 October 1993 the southbound Auckland-Wellington passenger train No. 203 collided with the edge of an open door of a container on a northbound freight train, No. B38, which was stationary in a crossing loop at Whangamarino. A window in one of the carriages was broken injuring two passengers. The safety issue identified in this report is the minimum spacing between main lines and crossing loops.","022/94, 023/94",Whangamarino
RO-1993-119,"Passenger train T301 Silver Fern, collision with motor vehicle, Huntly, 7 November 1993",7 Nov 1993,1 May 1994,93-119,"On 7 November 1993 the Auckland to Tauranga express passenger service (train 301) operated by New Zealand Rail Limited (NZRL) struck a car on the Bell Crossing Street level crossing in Huntly at 1920 hours. There were six young men in the car; four were killed and two seriously injured. Safety issues identified in this report were the adequacy of crossing warning measures, and road driving training.","024/94, 025/94, 026/94, 027/94, 028/94, 029/94",Huntly
RO-1993-122,"Freight train T248, collision with person on track, Trentham, 18 November 1993",18 Nov 1993,30 Mar 1994,93-122,On 18 November 1993 an intoxicated person lying close beside the track was struck and killed by a freight train. It is probable that the person fell from the station platform. No issues of public safety are raised in this report.,NA,Trentham
RO-1993-124,"Express freight train, derailment, Te Kauwhata, 6 December 1993",6 Dec 1993,29 Aug 1994,93-124,"On 6 December 1993 an express freight train operated by New Zealand Rail Limited derailed when it entered a crossover at the south end of Te Kauwhata while travelling too fast. The locomotive and all twelve wagons in the train were derailed, with substantial damage to all vehicles and the track. The Locomotive Engineer had encountered a signal he did not expect, interpreted it wrongly, and failed to slow the train for passage through the crossover. The safety issues identified in this report are the use of radio communication to advise Locomotive Engineers of infrequent or unusual train movements and the maintenance of locomotive event recorders.","037/94, 038/94, 039/94",Te Kauwhata
RO-1993-125,"Shunting locomotive, collision with motor vehicle, Gisborne, 8 December 1993",8 Dec 1993,1 May 1994,93-125,"On 8 December 1993 a shunting locomotive collided with a car on the Stanley Road level crossing, Gisborne, fatally injuring the motorist. The safety issue identified in the investigation was the risk to railway shunting staff of riding on the footplates of locomotives while crossing over public roads. A recommendation that event recorders should be fitted to shunting locomotives which travel on main lines or over public level crossings is also made.","030/94, 031/94, 032/94",Gisborne
RO-1993-126,"Express freight train T210, near collision with a stationary Diesel Multiple Unit, Papatoetoe, 10 December 1993",10 Dec 1993,29 Aug 1994,93-126,"On 10 December 1993 express freight train 210 encountered a ""stop and proceed"" signal at Stop at Puhinui, 1.5 km south of Papatoetoe. In accordance with the signalling rules, the Locomotive Engineer stopped, and after a short interval, proceeded. He subsequently had to make an emergency brake application to avoid a collision with a stationary train ahead of him. The safety issues identified in this report were the need for guidelines for Locomotive Engineers to assess their fitness for duty and rest facilities for Locomotive Engineers while waiting for trains.","043/94, 044/94",Papatoetoe
RO-1993-127,"Freight train T573, struck pedestrian, near Marton Station, 21 December 1993",21 Dec 1993,1 May 1994,93-127,On 21 December 1993 Train 573 struck and a pedestrian near Marton. The safety issue identified by this investigation was the lack of warning signs against trespassing over two rail bridges and along the track in the area of this accident.,"005/94, 006/94",Marton
RO-1993-128,"Freight train T571, collision with motor vehicle, Eltham, 23 December 1993",23 Dec 1993,29 Nov 1994,93-128,"On 23 December 1993 as Train 573 approached the London Street level crossing near Eltham the crossing alarms did not activate until the train was very close to the roadway. The Locomotive Engineer reported the incident as an alarm malfunction, but the investigation revealed that the alarms should have been reset manually after a train crossing at nearby Eltham Yard. The safety issues identified in this investigation were a deficiency in the route familiarisation certification of Locomotive Engineers, and an incorrect instruction in the Working Timetable, and a deficient safety culture among operating staff.","040/94, 041/94,  065/94, 066/94, 067/94, 068/94",Eltham
RO-1993-129,"Passenger train T404 Geyserland Express, collision with motor vehicle, near Ruakura, 23 December 1993",23 Dec 1993,21 Jun 1994,93-129,"On 23 December 1993 Train 404 collided with a motor vehicle near Ruakura. The safety issues identified in the investigation were the siting of trackside structures, the frangibility of trackside structures, the speed of the railcar and the timetable of the railcar service, and the conspicuity of level crossing flashing lights against the sun at low angles of elevation.","045/94, 046/94, 047/94",Ruakura
RO-1993-130,"Freight train T630, struck pedestrian, Hastings, 24 December 1993",24 Dec 1993,21 Jun 1994,93-130,On 24 December 1993 Train 630 struck a pedestrian in Hastings. The safety issues identified by this investigation were the lack of effective protection for pedestrians on either of two footpaths which crossed the track in the area of this accident which is a mid-city park.,NA,Hastings
RO-1994-101,"Passenger train T1604, struck pedestrian, Featherson, 17 January 1994",17 Jan 1994,1 May 1994,94-101,On 17 January 1994 NZRL Train 1604 struck a three-year-old pedestrian at Featherston. No specific safety issues were addressed.,NA,Featherston
RO-1994-102,"Express freight train T624, collision with track gang, Opapa Hawkes Bay, 19 January 1994",19 Jan 1994,21 Jun 1994,94-102,"On 19 January 1994, NZRL Train 624 collided with a track gang at Opapa, Hawkes Bay. Two track maintainers were seriously injured and several heavy power tools were damaged.",NA,Opapa
RO-1994-103,"Shunting locomotive TL8, struck pedestrian, New Lynn, 9 February 1994",9 Feb 1994,21 Jun 1994,94-103,"On 9 February 1994 a suburban shunting train, L8, operated by New Zealand Rail Limited struck and killed a pedestrian who attempted to cross the tracks at the Totara Avenue level crossing at New Lynn while the train was approaching. The crossing alarms were working and visibility was good. No specific safety issues were identified in this investigation.",NA,New Lynn
RO-1994-104,"Freight train T849, near collision with track-side machinery, Avoca Canterbury, 9 February 1994",9 Feb 1994,29 Aug 1994,94-104,"On 9 February 1994, NZRL Train 849, a westbound unlaiden coal train on the Midland Line, encountered a digger obstructing the line on the Avoca Bank, between Staircase and Craigieburn. The crew sighted the digger in time to stop the train safely. The safety issue identified in this investigation is the adequacy of protection rules applicable to track workers.",033/94,Avoca
RO-1994-105,"Freight train TJ26, collision with a light inspection vehicle, Waipahi, 3 March 1994",3 Mar 1994,29 Aug 1994,94-105,"On the evening of 3 March 1994 a Ganger was called out to a track fault near Waipahi. He estimated that the fault could be repaired just before the expected passage of a freight train. A three way radio conversation was held among the Ganger, the Locomotive Engineer, and the Train Control Officer, but the Ganger's rail mounted vehicle was shortly afterwards damaged when struck by the train. The safety issue identified was the protection procedures for track workers.",NA,Waipahi
RO-1994-106,"Freight train T257, struck pedestrian, Papakura Station, 5 March 1994",5 Mar 1994,29 Aug 1994,94-106,"On 5 March 1994, as Train 257 approached Papakura Station the train crew noticed an individual sitting on the edge of the platform. The person did not respond to the train's warning horn and received serious injury from which he died later the same day.",NA,Papakura
RO-1994-107,"Express freight train T842, collision with a motor vehicle, Rolleston, 5 March 1994",5 Mar 1994,29 Aug 1994,94-107,"On 5 March 1994, a car travelling west on George Holmes Road, Rolleston moved on to the level crossing while a train was approaching. The level crossing alarms, consisting of flashing lights and bells, were operating. The sole occupant of the car was killed in the collision.",NA,Rolleston
RO-1994-108,"Steam locomotive, tubular glass sight gauge broke, Pleasant Point, 13 March 1994",13 Mar 1994,29 Nov 1994,94-108,"On 13 March 1994, a tubular glass sight gauge in the cab of a restored steam locomotive broke, discharging steam and oily water from a lubricator. The fireman fell from the cab and received severe injuries. The locomotive was operated by the Pleasant Point Railway and Historical Society at Pleasant Point. The safety issue identified in this investigation was the need to replace sight glass tubes on old steam locomotives with modern borosilicat glass, and placing a screen in front of the tubes to deflect any discharge away from persons in the cab.","048/94, 049/94, 050/94",Pleasant Point
RO-1994-109,"Freight train T847, failed to stop at end of track warrant, Reefton, 30 March 1994",30 Mar 1994,29 Nov 1994,94-109,"On 30 March 1994 an incident in which the Locomotive Engineer of Lyttelton to Westport freight train 847, failed to stop his train at the limit of the Track Warrant and overran it by 23 km. The safety issues disclosed by the investigation related to the issue and observance of Track Warrants.","069/94, 070/94",Reefton
RO-1994-110,"Steam passenger train, derailment, Driving Creek Railway Coromandel, 2 April 1994",2 Apr 1994,29 Nov 1994,94-110,On 2 April 1994 a locomotive and carriage on the 15 inch gauge tourist railway at the Driving Creek Potteries near Coromandel lost adhesion and slid down a 1 in 17 grade until they derailed by partially overturning on a sharp curve. The safety issue identified in the investigation was the need to ensure that traction could be maintained at all times.,"051/94, 052/94",Driving Creek
RO-1994-113,"Express freight train T238, collision with motor vehicle, Halcombe, 30 April 1994",30 Apr 1994,29 Nov 1994,94-113,"On 30 April 1994 a motorist attempted to cross the railway line alongside the level crossing at Halcombe. His vehicle ""bottomed"" on the tracks. He failed to leave the vehicle before the approaching train collided with it some five minutes later. The motorist was killed in the collision.",NA,Halcombe
RO-1994-117,"Passenger train T700 Coastal Pacific, child fell from gangway, Hundalee, 2 July 1994",2 July 1994,12 Jan 1996,94-117,"Revised investigation 94-117: On Saturday 2 July 1994 at approximately 1025 hours, a child fell from the gangway between a carriage and the end platform of the power van on New Zealand Rail Limited's ""Coastal Pacific"" express near Hundalee when a handrail dislodged. The child was seriously injured. The safety issues identified in this investigation were the maintenance and inspection procedures for the safety barriers on passenger trains, the adequacy of the handrail bracket detail once the bracket had been repaired, and passenger management policies concerning movement of passengers on trains.",125/95,Hundalee
RO-1994-120,"Freight train T150, struck pedestrian, Newmarket, 24 July 1994",24 Jul 1994,6 Oct 1995,94-120,On 24 July 1994 at 2008 hours Train 150 struck and killed a pedestrian walking on the railway line near Newmarket. The pedestrian was not entitled to be on the railway line. No specific safety deficiencies were identified.,NA,Newmarket
RO-1994-123,"Express passenger train T402 Geyserland, collision with motor vehicle, near Morrinsville, 7 September 1994",7 Sep 1994,24 Mar 1995,94-123,"At 1455 hours on 7 September 1994, Train 402, the Rotorua to Auckland ""Geyserland Express"" collided with a truck on a private farm access crossing, resulting in the death of the truck driver. No specific safety issues were identified.",NA,Morrinsville
RO-1994-124,"Passenger train T4616, struck pedestrian, Woburn Station, 5 October 1994",5 Oct 1994,24 Mar 1995,94-124,At 1615 hours on 5 October 1994 a pedestrian walking on the track near Woburn Station in the Hutt Valley was struck and fatally injured by a suburban passenger train.,NA,Woburn
RO-1994-125,"Express freight train TR776, track warrant control irregularity, Claverley-Oaro, 31 October 1994",31 Oct 1994,6 Oct 1995,94-125,"On 31 October 1994 the Locomotive Engineer on Train 776, a northbound express freight operated by New Zealand Rail Limited (NZRL) advised Train Control that he was at Oaro, and in response to the question from the Train Control Officer, cancelled the track warrant he held to Oaro. A southbound passenger train, Train 701, arrived at Oaro to cross 776, but 776 was not there. Subsequently it was discovered that 776 was at Claverley, some 12 kilometres south of Oaro. A track warrant was issued for 701 to continue southwards. When the planned crew changeover occurred at Claverley, the Locomotive Engineer who moved from 701 to 776 discovered that the track warrant for 776 to travel to Oaro had not been cancelled as required by NZRL rules. The safety deficiencies addressed in this report are fitness for duty; the auditing of the compliance with rules and procedures by operating staff and the working conditions of Train Control Officers; the relief of staff involved in operating irregularities; and the resilience of the Track Warrant Control system on NZRL.","005/95, 006/95, 008/95, 010/95",Claverley-Oaro
RO-1994-126,"Express freight train F29, collision with hi-rail vehicle, Poukawa Hawkes Bay, 12 December 1994",12 Dec 1994,6 Oct 1995,94-126,"At about 1615 hours on 12 December 1994, Train F29, a Napier to Wellington express freight, collided with a Hi-Rail vehicle travelling in the opposite direction on the line. Nobody was injured, although the Hi-Rail vehicle was severely damaged. Causal factors involved fitness for duty and failure to clarify the Ganger's location requirements geographically. It was recommended that the Train Control Officer's requirement to establish the position of the required access to the track be extended to those requiring the access.",003/95,Poukawa 
RO-1994-127,"Express passenger train T701 Southerner, derailment, near Edendale, 13 December 1994",13 Dec 1994,25 Sep 1995,94-127,"On 13 December 1994 at 1717 hours, Train 901, the southbound ""Southerner"" express passenger service between Christchurch and Invercargill, was travelling at 94 km/hr when the Locomotive Engineer noticed a buckle in the track ahead. He was unable to bring the train to a halt in the space available, and although the locomotive and three passenger carriages remained on the rails, all wheels of the trailing vehicle, a luggage van, were derailed. Safety recommendations were made relating to the safety deficiencies identified which were the training and supervision of key track staff, the clarity of instructions to staff, and compliance with established standards for the formation and maintenance of continuous welded rail.","021/95, 022/95, 023/95, 024/95, 025/95",Edendale
RO-1994-129,"Passenger train T702 Lynx Express, collision with motor vehicle, near Omihi, 23 December 1994",23 Dec 1994,17 Nov 1995,94-129,"On 23 December 1994, at 1745 hours Train 702, the Christchurch to Picton ""Lynx Express"" collided with a car on a level crossing over State Highway 1 just north of Omihi. A passenger in the car was killed and the driver and other passenger received serious injuries in the accident. The effectiveness of the road signs preceding the crossing was the only safety issue identified. Safety recommendations were issued in respect of the signage at railway level crossings.","026/95, 029/95",Omihi
RO-1995-104,"Passenger train F04, locomotive fire onboard, Rimutaka Tunnel, 4 February 1995",4 Feb 1995,6 Oct 1995,95-104,"On 4 February 1995, Train F04 was a non-scheduled service conveying passengers from the Wellington area to Featherston for the Martinborough Fair. At 0958 hours, about 3 km into the 8.8 km tunnel, the crew noticed an engine fire on the locomotive. The Locomotive Engineer elected to shut the engine down once the train was in a position to coast clear of the tunnel. None of the crew or passengers was injured. Safety issues identified were a replacement regime for fuel header lines, and emergency response plans for the Rimutaka Tunnel.",NA,Rimutaka
RO-1995-106,"Freight train T258, struck pedestrian, near Ngaruawahia, 28 February 1995",28 Feb 1995,6 Oct 1995,95-106,"On 28 February 1995, at approximately 2240 hours, Train 258, a freight from Te Rapa to Westfield passed through the area immediately north of the Waikato River rail bridge in Ngaruawahia. Circumstantial evidence indicates it was this train which collided with a pedestrian who was crossing the line outside the driveway to his house at that time. The pedestrian was killed by a train at some time after 2230 in that area. No safety deficiencies which would have prevented this accident were revealed by the investigation.",NA,Ngaruawahia
RO-1995-107,"Express passenger train T203 Northerner Express, collision with motor vehicle, Mangapehi, 6 March 1995",6 Mar 1995,17 Nov 1995,95-107,"At 0027 hours on 6 March 1995, Train 203, the Auckland - Wellington ""Northerner"" express collided with a motor vehicle on the Highway 30 level crossing at Mangapehi (20 km south of Te Kuiti). The crossing was equipped with warning devices which were operating at the time of the accident. The motor vehicle driver was killed and his passenger sustained minor injuries. No specific safety issues were identified.",NA,Mangapehi
RO-1995-109,"Freight train T860, runaway wagon, Omoto near Greymouth, 2 May 1995",2 May 1995,17 Nov 1995,95-109,"On 2 May 1995 at about 2042 hours one wagon of an eastbound freight operated by New Zealand Rail Limited (NZRL) between Greymouth and Middleton, derailed near Omoto whilst ascending a grade at slow speed. The derailed wagon was the second last wagon on the train and derailed all wheels. As a result the coupling and air connections to the last wagon parted and it ran back down the grade for approximately 4 kilometres. The causal factor of the derailment was uneven loading and causal factors for the runaway wagon were substandard repairs to the wagon braking system and non-compliance with established procedures to identify such problems. The safety deficiencies addressed in this report are compliance with requirements for train examination and testing prior to departure from a terminal station, the standard of temporary repairs to braking gear, and the control of the loading of scrap metal.",NA,Omoto
RO-1995-110,"Wellington Wharf shunt, collision with front end loader, Wellington, 18 May 1995",18 May 1995,17 Nov 1995,95-110,"On Thursday, 18 May 1995 at about 0710 hours a remote controlled locomotive operated by New Zealand Rail Limited (NZRL) was returning light from Kings Wharf to Wellington Yard when it struck a front end loader foul of the line. As a result of the impact the Remote Control Operator riding on the front of the locomotive was thrown to the ground and picked up and dragged by the cowcatcher of the locomotive. The causal factor was the uncontrolled operation of the front end loader obstructing a main shunting leg serving Wellington Wharf. The safety deficiencies addressed in this report are the operational constraints necessary to ensure controlled integrated operation within Port of Wellington property, and the adequacy of operational agreements for similar rail served complexes.","039/95, 040/95, 041/95",Wellington
RO-1995-111,"Yard shunt Q2, shunter fell under train, Gracefield, 24 May 1995",24 May 1995,12 Jan 1996,95-111,"On Wednesday, 24 May 1995 at about 0820 hours Q2 Shunt operated by New Zealand Rail Limited was shunting at Gracefield yard. During a propelling movement to attempt to catch and hook onto a moving wagon, the Rail Operator riding on the leading wagon fell under the Shunt and was killed instantly. Causal factors were unauthorised shunting procedures, wagon drawbar condition, limited experience of staff and effectiveness of compliance monitoring. Safety deficiencies addressed in the report are the suitability of and compliance with instructions covering loose shunting. Safety issues addressed in the report are the suitability of and compliance with procedures for wagon inspection and repair, and the training and certification of Operating staff.","036/95, 037/95, 038/95",Gracefield
RO-1995-112,"Yard shunt, shunter fell under wagon, Frankton, 31 May 1995",31 May 1995,16 May 1996,95-112,"On Wednesday 31 May 1995 at about 0400 hours the Te Rapa North Shunt operated by New Zealand Rail Limited was shunting at Frankton. The Senior Shunter in charge of movements was riding on the footplate on the rear of the locomotive when he lost his footing and fell under the single attached wagon. The Senior Shunter was seriously injured. The causal factor was the Senior Shunter's loss of balance while attempting to read the wagon destination card during the shunting movement. Safety issues identified were the control of the movement of defective wagons, the control of shunting speed due to track condition, the practice of painting shunters' footplates on locomotives, the use of hands free radio communication and the position of shunters' footplates on locomotives.",NA,Frankton
RO-1995-114,"Shunting locomotive, shunter fell under locomotive, Ravensbourne, 8 August 1995",8 Aug 1995,16 May 1996,95-114,"On Tuesday 8 August 1995 at about 1025 hours Y3 Shunt operated by New Zealand Rail Limited was shunting at Ravensbourne. Two shunters were riding on the footplate on the front of the locomotive. As the locomotive negotiated a turnout the left hand side of the footplate caught under the head of a rail on the adjacent road and the footplate buckled. The shunter on the left hand side was thrown off the footplate and trapped under it, suffering serious injuries. The causal factor was the relative heights of the rails on the converging tracks. A safety deficiency identified was the lack of standards and inspection procedures governing such relative heights. A Safety issue identified was the lack of compliance with track inspection requirements.",083/95,Ravensbourne
RO-1995-117,"Express passenger train T600 Bay Express, derailment, Pukehou, 12 November 1995",12 Nov 1995,19 Jul 1996,95-117,"On Sunday 12 November 1995 at about 1240 hours Train 600, the Northbound ""Bay Express"" express passenger service between Wellington and Napier, derailed at Pukehou between Waipukurau and Hastings on the Palmerston North Gisborne Line. The train was travelling at approximately 90 km/h when the locomotive, power/baggage van and an empty passenger carriage left the tracks on a right hand curve. The two rear carriages carrying passengers remained on the rails. A member of the public riding in the cab of the locomotive was fatally injured and nineteen passengers or crew suffered shock or minor injuries. The causal factor was the excessive speed of the train.",NA,Pukehou
RO-1995-119,"Diesel Multiple Unit, collision with motor vehicle, Ranui, 17 November 1995",17 Nov 1995,16 May 1996,95-119,"A car travelling south-west on Metcalfe Road, Ranui on 17 November 1995 moved onto the level crossing while a train was approaching. The level crossing alarms, consisting of flashing lights and bells, were operating. A collision resulted in which the front seat passenger was killed. The causal factor was the car driver's fitness for driving. Safety issues identified were the dangers associated with motor vehicle driver fatigue.",001/96,Ranui
RO-1995-121,"Runaway wagons, Raupunga near Wairoa, 11 December 1995",11 Dec 1995,18 Sep 1996,95-121,On Monday 11 December 1995 at about 0800 hours 20 LPA wagons loaded with roading aggregate rolled out of the loop at Raupunga onto the main line and ran down a 1 in 50 grade to Maungaturanga viaduct approximately 1.5 kilometres away. A painting gang working on the viaduct were forced to take urgent evasive action. The wagons came to rest a further 1 kilometre away on a 1 in 50 ascending grade and rolled back to the bridge. The causal factor of the main line runaway was unloading wagons on a crossing loop on a grade with no protection to stop runaway wagons entering the main line. Safety deficiencies addressed in the report are the adequacy of the safety system meant to avoid such uncontrolled runaways on to main lines.,002/96,Waiora
RO-1995-122,"Electric Multiple Unit, derailment, Taita, 13 December 1996",13 Dec 1995,22 Nov 1996,95-122,"On Wednesday, 13 December 1995 at about 1557 hours Train 2650, comprising two Ganz Mavàg electric multiple units running from Wellington to Upper Hutt, derailed while departing Taita Station. The derailed car, EM 1494, was second in the four car consist and all four wheels of the trailing bogie derailed. There were no injuries. The cause was the separation of the tyre from a wheel on EM 1494. Safety issues identified were the need to record and retain tyre fitting records, the inspection procedures for tyred wheels, the advantages of solid wheels, and the operator's training of part-time Passenger Operators.","025/96, 038/96, 039/96",Taita
RO-1995-123,"Hi-rail vehicles, collision, Maxwell, 18 December 1995",18 Dec 1995,16 May 1996,95-123,"At 1210 hours on Monday 18 December 1995, a Hi-Rail vehicle and a light inspection vehicle collided head-on on a curve near Maxwell, on the Marton - New Plymouth Line. The driver of one of the vehicles sustained rib fractures in the collision, but the two occupants of the other vehicle were uninjured. The cause of the accident was the unauthorised presence of one of the vehicles on that section of line. No specific safety issues were identified as a result of this investigation.",NA,Maxwell
RO-1996-101,"Express passenger train T701, track warrant control irregularity, Waipara, 8 January 1996",8 Jan 1996,22 Nov 1996,96-101,"On Monday 8 January 1996 Train 701, the southbound ""Coastal Pacific"" passenger service, overran Waipara without a valid track warrant and continued approximately 24 kms into the next section before the error was realised. There was no opposing traffic or obstruction and once the overrun was discovered a valid warrant was issued and Train 701 continued its journey. The causal factor was the Locomotive Engineer's failure to recognise the limits of his authority to proceed. Safety issues identified were the long distances for which track warrants were issued and the need to reinforce track warrant requirements, particularly following crew changeovers.","003/96, 004/96",Waipara
RO-1996-103,"Express freight train T622, level crossing collision, Waipawa, 27 March 1996",27 Mar 1996,22 Nov 1996,96-103,"A utility travelling west on Victoria Street, Waipawa on Wednesday 27 March 1996 moved onto the level crossing ahead of an approaching train. The level crossing alarms, consisting of flashing lights and bells, were operating. A collision resulted in which injuries sustained by the driver and front seat passenger subsequently proved fatal. The causal factor was the utility driver's apparent failure to see and respond to the warning devices. Safety issues identified were the effectiveness of the warning system in particular sunlight conditions and the available view at the crossing.","040/96, 041/96, 042/96, 043/96",Waipawa
RO-1996-104,"Hi-rail vehicles, collision, Kotemaori, 2 May 1996",2 May 1996,29 Jan 1997,96-104,"At 1030 hours on Thursday 2 May 1996, two Hi-Rail vehicles collided on a curve near Kotemaori on the Palmerston North-Gisborne Line. The four occupants of the vehicles were uninjured. The cause of the collision was insufficient information available to the employee in charge of one of the Hi-Rail vehicles. Safety deficiencies addressed in the report are the suitability of the existing Operating Rules covering conflicting Hi-Rail vehicle movements. Safety issues addressed in the report are the compliance with Train Control procedures and the compliance with certification requirements for operating Hi-Rail vehicles.",021/96,Kotemaori
